Name,Longitude,Latitude,Elevation
Y 198,-81.0602777778,37.8563888889,
Y 203,-81.145,38.1133333333,
Y 206,-81.0177777778,37.8572222222,
Y 207,-80.8575,37.8641666667,
Y 208,-80.8077777778,37.8802777778,
Y 209,-80.8227777778,37.9672222222,
Y 218,-81.0777777778,38.1336111111,
Y 223,-80.9497222222,38.1863888889,
Z 198,-81.0675,37.8561111111,
Z 206,-81.0061111111,37.8583333333,
Z 207,-80.8558333333,37.8608333333,
Z 208,-80.8086111111,37.8877777778,
Z 209,-80.8411111111,37.9683333333,
Z 218,-81.0725,38.1263888889,
Z 221,-80.9005555556,38.0788888889,
Z 222,-81.0197222222,38.0713888889,
Z 223,-80.9488888889,38.1794444444,
DUMPLING,-80.6339613667,38.8925839806,
DUSK,-80.7547019583,38.890755475,
FLAG KNOB,-80.8943035028,38.8811452583,
FROZEN,-80.998833175,38.7458750861,
GSC 1,-80.8291500167,38.9453443833,
HURST,-80.7265783528,39.0688210278,
LINN,-80.7474088694,38.9937310167,
LONGSHOAL,-80.6849900639,38.8912427139,
LYNN,-80.8653615833,39.0219410833,
LYNN AZIMUTH,-80.8584826389,39.0089311972,
N 8,-80.9625,38.855,
P 8,-80.9308333333,38.8597222222,
SPRING,-80.9984034333,39.0110554111,
V 8,-80.81,38.9552777778,
W 8,-80.7763888889,38.9594444444,
Y 8,-80.7213888889,38.9961111111,
BEAMS,-79.1377315722,38.9915418139,
BORROR,-79.1770498444,38.8743024306,
FAN MARKER PETERSBURG 1956,-79.1378291056,38.9914702667,
FORE,-79.2464475528,39.1247813778,
GAP,-79.2486265944,38.9993261583,
J 31,-79.3975694444,39.2539166667,
K 31,-79.4633333333,39.2066666667,
L 77,-79.2802777778,39.2752777778,
LUNICE,-79.1353128167,39.1210686028,
M 77,-79.3136111111,39.2761111111,
N 77,-79.33,39.2958333333,
NORTH FORK,-79.2724589361,38.9363849194,
UNION,-79.1770893194,39.2725202611,
W99 A,-79.1500903972,38.9967169444,
WATERFALL,-79.1176436,38.8818819,
Z 76,-79.115,39.0566666667,
A 210,-80.7805555556,37.9677777778,
A 214,-80.7158333333,37.8388888889,
A 215,-80.6686111111,37.9861111111,
A 230,-80.5877777778,37.8477777778,
A 233,-80.5986111111,37.945,
A 234,-80.7077777778,38.0772222222,
A 237,-80.8605555556,38.0752777778,
A 239,-80.5213888889,38.1930555556,
A 243,-80.4063888889,38.2336111111,
A 325,-80.3758333333,37.9466666667,
A 328,-80.6094444444,37.7222222222,
B 215,-80.6666666667,37.9977777778,
B 217,-80.6422222222,37.8322222222,
B 228,-80.4836111111,38.0533333333,
B 230,-80.5908333333,37.8541666667,
B 233,-80.595,37.9416666667,
B 237,-80.8525,38.0711111111,
B 243,-80.4166666667,38.2305555556,
B 244,-80.4447222222,38.0677777778,
B 325,-80.3847222222,37.9325,
BOGGS USGS 1952,-80.7807813,37.9181418806,
C 215,-80.6619444444,38.01,
C 217,-80.6444444444,37.835,
C 230,-80.5933333333,37.8619444444,
C 237,-80.8433333333,38.0630555556,
C 243,-80.4272222222,38.2166666667,
D 210,-80.7580555556,37.9738888889,
D 214,-80.7005555556,37.8441666667,
D 215,-80.6558333333,38.0180555556,
D 216,-80.5322222222,37.8277777778,
D 217,-80.6461111111,37.8388888889,
D 230,-80.5963888889,37.8736111111,
D 231,-80.4383333333,37.8977777778,
D 232,-80.4619444444,38.0069444444,
D 233,-80.5836111111,37.9397222222,
D 237,-80.8383333333,38.0686111111,
D 243,-80.4372222222,38.2161111111,
E 210,-80.75,37.9858333333,
E 215,-80.6427777778,38.0183333333,
E 216,-80.5413888889,37.8247222222,
E 217,-80.6505555556,37.8391666667,
E 230,-80.5913888889,37.8769444444,
E 232,-80.4583333333,38.0105555556,
E 233,-80.5741666667,37.9419444444,
E 237,-80.8269444444,38.0752777778,
E 243,-80.4475555556,38.2255,
F 210,-80.7513888889,37.9983333333,
F 214,-80.7422222222,37.8636111111,
F 215,-80.6311111111,38.0258333333,
F 216,-80.5511111111,37.8283333333,
F 232,-80.4533333333,38.0125,
F 233,-80.5683333333,37.9397222222,
F 237,-80.8177777778,38.0841666667,
F 238,-80.525,38.1469444444,
F 243,-80.4492777778,38.2379722222,
G 197,-80.2786111111,37.7636111111,
G 210,-80.7497222222,38.0047222222,
G 214,-80.7213888889,37.8805555556,
G 215,-80.6269444444,38.0347222222,
G 216,-80.56,37.8230555556,
G 217,-80.6616666667,37.8416666667,
G 228,-80.5869444444,38.0852777778,
G 232,-80.4455555556,38.0141666667,
G 233,-80.5661111111,37.9355555556,
G 237,-80.8102777778,38.0902777778,
G 238,-80.5388888889,38.1522222222,
G 243,-80.4556666667,38.2436944444,
G 325,-80.415,37.8366666667,
GVAP,-80.4049150417,37.8563792167,
H 197,-80.2733333333,37.7522222222,
H 209,-80.7952777778,37.9541666667,
H 210,-80.7366666667,38.0016666667,
H 214,-80.7175,37.8930555556,
H 215,-80.6183333333,38.0436111111,
H 217,-80.6763888889,37.8352777778,
H 228,-80.5705555556,38.0908333333,
H 233,-80.5588888889,37.9408333333,
H 238,-80.5475,38.1533333333,
J 197,-80.2677777778,37.7505555556,
J 209,-80.7936111111,37.9555555556,
J 210,-80.7341666667,37.9933333333,
J 214,-80.7141666667,37.8983333333,
J 215,-80.6186111111,38.0541666667,
J 217,-80.6805555556,37.8377777778,
J 228,-80.5686111111,38.0958333333,
J 231,-80.3286111111,37.8958333333,
J 233,-80.5508333333,37.9375,
J 238,-80.5544444444,38.1519444444,
K 209,-80.7816666667,37.9647222222,
K 210,-80.7252777778,37.9861111111,
K 214,-80.7036111111,37.9088888889,
K 215,-80.61,38.0597222222,
K 216,-80.6172222222,37.7466666667,
K 217,-80.6886111111,37.8425,
K 228,-80.5563888889,38.0966666667,
K 230,-80.565,37.9033333333,
K 231,-80.3358333333,37.9041666667,
K 233,-80.5427777778,37.9380555556,
K 238,-80.5680555556,38.1538888889,
L 197,-80.4369444444,37.7686111111,
L 214,-80.6980555556,37.9152777778,
L 215,-80.6041666667,38.0672222222,
L 216,-80.6130555556,37.7522222222,
L 228,-80.5438888889,38.0941666667,
L 230,-80.5547222222,37.9022222222,
L 231,-80.3438888889,37.9077777778,
L 236,-80.7202777778,38.0605555556,
L 238,-80.5761111111,38.1552777778,
L 251,-80.4333333333,38.0627777778,
LWB C,-80.3930050361,37.8633692694,
M 210,-80.7116666667,37.9786111111,
M 212,-80.7086111111,37.8055555556,
M 214,-80.6969444444,37.9188888889,
M 216,-80.6063888889,37.7625,
M 228,-80.5366666667,38.0880555556,
M 230,-80.5330555556,37.9147222222,
M 231,-80.3508333333,37.9097222222,
M 233,-80.4627777778,38.0325,
M 236,-80.7294444444,38.06,
M 238,-80.5855555556,38.1605555556,
M 251,-80.4258333333,38.0641666667,
M 254,-80.3236111111,37.9969444444,
MIKE,-80.3671167611,38.2217484389,
N 210,-80.7005555556,37.9680555556,
N 212,-80.7116666667,37.8183333333,
N 213,-80.7255555556,37.8691666667,
